SEQN,Gender,Age,Race,Citizenship,Edu_y,Edu_a,Language,HouseholdSize,Child_5,Child_17,Old,Income,IncPov
83866,Male,40,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,1,"$ 75,000 - 99,999",4.36
83867,Male,13,Other Race,US Citizen,Middle School,,English,4,0,1,0,"$ 35,000 - 54,999",1.65
83868,Female,11,Mexican American,US Citizen,Primary School,,English,4,1,1,0,"$ 100,000 +",4.54
83869,Female,67,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,1,"$ 10,000 - 19,999",1.35
83870,Male,48,Mexican American,Not a US Citizen,,High School,English,5,0,2,0,"$ 55,000 - 74,999",2.24
83871,Female,30,Mexican American,Not a US Citizen,,Less than 9th Grade,Spanish,7,2,3,0,"$ 20,000 - 34,999",0.87
83872,Male,63,Mexican American,US Citizen,,High School,English,4,0,1,1,Don't Know,
83873,Male,4,Non-Hispanic White,US Citizen,,,English,7,1,2,2,"$ 100,000 +",4.68
83874,Male,54,Mexican American,Not a US Citizen,,9th-11th,Spanish,3,0,1,0,"$ 20,000 - 34,999",1.14
83875,Female,42,Non-Hispanic Black,Not a US Citizen,,College Grad and above,English,7,0,4,0,"$ 55,000 - 74,999",1.82
83876,Female,71,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 0 - 9,999",0.81
83877,Female,13,Non-Hispanic Asian,US Citizen,Middle School,,English,4,0,2,0,"$ 75,000 - 99,999",3.55
83878,Male,10,Non-Hispanic Black,US Citizen,Primary School,,English,7,1,4,0,"$ 10,000 - 19,999",
83879,Female,14,Non-Hispanic White,US Citizen,Middle School,,English,5,0,3,0,"$ 100,000 +",3.87
83880,Female,79,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,6,0,2,2,"$ 10,000 - 19,999",0.43
83881,Female,32,Non-Hispanic White,Not a US Citizen,,College Grad and above,English,4,2,0,0,"$ 35,000 - 54,999",2.06
83882,Female,4,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 10,000 - 19,999",0.97
83883,Female,80,Mexican American,US Citizen,,9th-11th,Spanish,1,0,0,1,"$ 0 - 9,999",0.68
83884,Male,61,Mexican American,US Citizen,,High School,English,4,0,0,1,"$ 10,000 - 19,999",0.62
83885,Female,38,Non-Hispanic Asian,US Citizen,,College/AA degree,English,4,0,2,0,"$ 75,000 - 99,999",3.62
83886,Male,74,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,2,"$ 20,000 - 34,999",2
83887,Female,51,Non-Hispanic Black,Not a US Citizen,,9th-11th,English,6,1,1,1,Don't Know,
83888,Male,3,Non-Hispanic White,US Citizen,,,English,7,2,3,0,"$ 55,000 - 74,999",1.85
83889,Male,26,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 75,000 - 99,999",4.25
83890,Female,18,Non-Hispanic Asian,US Citizen,High School,,English,5,0,2,0,"$ 20,000 - 34,999",0.95
83891,Female,54,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,0,"$ 55,000 - 74,999",5
83892,Female,2,Other Race,US Citizen,,,English,4,2,0,0,"$ 10,000 - 19,999",0.62
83893,Female,68,Mexican American,US Citizen,,Less than 9th Grade,English,2,0,0,2,"$ 10,000 - 19,999",1.12
83894,Male,60,Non-Hispanic Black,US Citizen,,High School,English,7,0,4,1,"$ 35,000 - 54,999",1.23
83895,Female,80,Non-Hispanic White,US Citizen,,High School,English,3,0,1,1,"$ 10,000 - 19,999",0.77
83896,Female,9,Other Hispanic,US Citizen,Primary School,,Spanish,5,1,2,0,"$ 20,000 - 34,999",0.77
83897,Female,29,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,0,"$ 35,000 - 54,999",1.68
83898,Male,55,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,1,0,"$ 35,000 - 54,999",2.68
83899,Male,27,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,2,0,0,0,"$ 20,000 - 34,999",1.57
83900,Female,52,Non-Hispanic White,US Citizen,,College Grad and above,English,1,0,0,0,"$ 10,000 - 19,999",0.85
83901,Female,10,Non-Hispanic Black,US Citizen,Primary School,,English,4,0,3,0,"$ 10,000 - 19,999",0.66
83902,Male,49,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,0,"$ 100,000 +",5
83903,Female,47,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,0,"$ 35,000 - 54,999",2.08
83904,Female,80,Non-Hispanic Black,US Citizen,,9th-11th,English,2,0,0,2,"$ 10,000 - 19,999",0.75
83905,Male,9,Other Hispanic,US Citizen,Primary School,,English,7,1,4,0,"$ 55,000 - 74,999",1.47
83906,Female,11,Other Race,US Citizen,Primary School,,English,2,0,1,0,"$ 0 - 9,999",0.01
83907,Male,22,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,0,0,0,,0.42
83908,Male,51,Non-Hispanic Black,US Citizen,,High School,English,2,0,0,1,"$ 20,000 - 34,999",1.43
83909,Female,49,Non-Hispanic White,US Citizen,,College/AA degree,English,3,0,1,0,Don't Know,
83910,Male,37,Non-Hispanic White,US Citizen,,High School,English,2,0,0,0,"$ 55,000 - 74,999",4.37
83911,Female,43,Non-Hispanic Black,US Citizen,,College/AA degree,English,4,1,0,0,"$ 75,000 - 99,999",3.3
83912,Male,1,Mexican American,US Citizen,,,Spanish,6,1,3,0,"$ 35,000 - 54,999",1.23
83913,Male,43,Non-Hispanic Asian,Not a US Citizen,,Less than 9th Grade,English,4,1,1,0,"$ 35,000 - 54,999",1.44
83914,Female,23,Other Hispanic,US Citizen,,College/AA degree,English,2,0,0,0,"$ 35,000 - 54,999",2.32
83915,Male,71,Mexican American,US Citizen,,College/AA degree,English,3,0,0,2,"$ 20,000 - 34,999",1.69
83916,Female,8,Non-Hispanic Black,US Citizen,Primary School,,English,6,2,2,0,"$ 75,000 - 99,999",2.92
83917,Female,17,Non-Hispanic White,US Citizen,High School,,English,4,0,2,0,"$ 20,000 - 34,999",0.82
83918,Male,15,Non-Hispanic Black,US Citizen,High School,,English,7,1,3,1,"$ 75,000 - 99,999",2.45
83919,Male,19,Mexican American,US Citizen,High School,,English,3,0,0,0,"$ 20,000 - 34,999",1.64
83920,Female,68,Mexican American,US Citizen,,Less than 9th Grade,Spanish,7,0,2,2,"$ 10,000 - 19,999",0.35
83921,Female,10,Non-Hispanic Black,US Citizen,Primary School,,English,6,2,2,0,"$ 75,000 - 99,999",2.46
83922,Male,1,Non-Hispanic White,US Citizen,,,English,4,2,0,0,"$ 10,000 - 19,999",0.66
83923,Female,1,Non-Hispanic White,US Citizen,,,English,4,1,0,0,"$ 35,000 - 54,999",1.86
83924,Female,48,Non-Hispanic White,US Citizen,,Less than 9th Grade,English,2,0,0,0,"$ 35,000 - 54,999",2.5
83925,Female,74,Other Hispanic,US Citizen,,High School,English,1,0,0,1,"$ 35,000 - 54,999",3.82
83926,Male,66,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,2,"$ 55,000 - 74,999",3.43
83927,Female,66,Non-Hispanic Asian,US Citizen,,College Grad and above,English,2,0,0,2,"$ 55,000 - 74,999",4.06
83928,Female,62,Mexican American,US Citizen,,High School,English,2,0,0,2,,
83929,Female,10,Non-Hispanic Black,US Citizen,Primary School,,English,7,3,2,0,"$ 0 - 9,999",0.24
83930,Male,17,Non-Hispanic White,US Citizen,Middle School,,English,3,0,2,0,"$ 20,000 - 34,999",1.1
83931,Male,37,Other Hispanic,US Citizen,,9th-11th,English,3,0,0,1,"$ 35,000 - 54,999",2.08
83932,Female,80,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,2,"$ 35,000 - 54,999",3.14
83933,Female,31,Non-Hispanic White,US Citizen,,9th-11th,English,5,0,2,0,"$ 35,000 - 54,999",1.32
83934,Female,27,Non-Hispanic Black,US Citizen,,High School,English,2,1,0,0,"$ 10,000 - 19,999",0.86
83935,Female,44,Non-Hispanic Asian,US Citizen,,College Grad and above,English,5,0,3,0,"$ 35,000 - 54,999",1.86
83936,Male,12,Non-Hispanic White,US Citizen,Middle School,,English,3,0,1,0,"$ 100,000 +",5
83937,Female,75,Non-Hispanic Asian,US Citizen,,Less than 9th Grade,English,5,0,2,1,"$ 35,000 - 54,999",1.76
83938,Male,45,Non-Hispanic Asian,Not a US Citizen,,College Grad and above,English,4,0,2,0,"$ 75,000 - 99,999",3.55
83939,Female,0,Non-Hispanic White,US Citizen,,,English,5,2,1,0,"$ 75,000 - 99,999",2.99
83940,Male,16,Other Hispanic,Not a US Citizen,Middle School,,Spanish,5,0,3,0,"$ 0 - 9,999",0.28
83941,Male,71,Other Hispanic,US Citizen,,High School,Spanish,4,0,0,1,,
83942,Male,0,Non-Hispanic White,US Citizen,,,English,3,1,0,0,"$ 100,000 +",5
83943,Female,17,Mexican American,US Citizen,High School,,English,7,0,3,2,"$ 10,000 - 19,999",0.49
83944,Male,75,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,0,1,"$ 10,000 - 19,999",0.74
83945,Female,9,Mexican American,US Citizen,Primary School,,English,5,0,3,0,"$ 55,000 - 74,999",2.46
83946,Male,43,Non-Hispanic White,US Citizen,,College Grad and above,English,4,0,2,0,"$ 100,000 +",5
83947,Female,33,Non-Hispanic White,US Citizen,,College/AA degree,English,4,1,1,0,"$ 55,000 - 74,999",2.67
83948,Female,13,Mexican American,US Citizen,Middle School,,Spanish,6,0,3,0,"$ 20,000 - 34,999",0.8
83949,Female,78,Non-Hispanic White,US Citizen,,High School,English,1,0,0,1,"$ 20,000 - 34,999",2.38
83950,Male,55,Non-Hispanic White,US Citizen,,9th-11th,English,1,0,0,0,"$ 0 - 9,999",0.61
83951,Male,24,Non-Hispanic Black,US Citizen,,9th-11th,English,3,0,0,1,"$ 55,000 - 74,999",2.98
83952,Female,14,Mexican American,US Citizen,High School,,English,6,0,3,0,"$ 35,000 - 54,999",1.23
83953,Female,46,Mexican American,US Citizen,,College Grad and above,English,2,0,0,0,"$ 100,000 +",5
83954,Male,53,Non-Hispanic White,US Citizen,,High School,English,2,0,0,0,"$ 75,000 - 99,999",5
83955,Male,47,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,1,0,"$ 75,000 - 99,999",4.48
83956,Female,0,Non-Hispanic White,US Citizen,,,English,4,2,0,0,"$ 100,000 +",4.12
83957,Female,0,Mexican American,US Citizen,,,English,4,2,0,0,"$ 10,000 - 19,999",0.49
83958,Female,47,Non-Hispanic Black,US Citizen,,High School,English,3,0,0,0,"$ 20,000 - 34,999",0.25
83959,Female,22,Non-Hispanic White,US Citizen,,College/AA degree,English,4,1,0,1,"$ 10,000 - 19,999",0.8
83960,Male,12,Non-Hispanic White,US Citizen,Middle School,,English,5,0,3,0,"$ 100,000 +",3.52
83961,Female,44,Non-Hispanic White,US Citizen,,College/AA degree,English,4,0,2,0,"$ 75,000 - 99,999",3.7
83962,Female,28,Non-Hispanic Black,US Citizen,,College Grad and above,English,4,1,1,0,"$ 35,000 - 54,999",1.65
83963,Female,44,Non-Hispanic Black,US Citizen,,College/AA degree,English,3,0,1,0,"$ 20,000 - 34,999",1.51
83964,Female,72,Non-Hispanic Asian,US Citizen,,9th-11th,English,2,0,0,2,"$ 55,000 - 74,999",4.06
83965,Male,49,Mexican American,US Citizen,,College/AA degree,English,1,0,0,0,"$ 10,000 - 19,999",1.24
83966,Male,27,Mexican American,Not a US Citizen,,9th-11th,Spanish,6,1,2,0,"$ 10,000 - 19,999",0.57
83967,Male,40,Other Race,US Citizen,,College Grad and above,English,3,1,0,0,"$ 100,000 +",5
83968,Male,11,Non-Hispanic White,US Citizen,Primary School,,English,7,2,4,0,Don't Know,
83969,Female,21,Non-Hispanic White,US Citizen,,College/AA degree,English,2,0,0,0,"$ 20,000 - 34,999",2.01
83970,Male,9,Non-Hispanic Asian,Not a US Citizen,Primary School,,English,3,0,1,0,"$ 10,000 - 19,999",0.95
83971,Female,26,Non-Hispanic White,US Citizen,,College/AA degree,English,4,2,0,0,"$ 55,000 - 74,999",2.27
83972,Female,10,Mexican American,US Citizen,Primary School,,English,4,0,2,0,"$ 35,000 - 54,999",2.06
83973,Male,63,Non-Hispanic White,US Citizen,,College Grad and above,English,2,0,0,1,"$ 100,000 +",5
83974,Female,2,Other Race,US Citizen,,,English,6,1,2,0,"$ 35,000 - 54,999",1.17
83975,Female,65,Other Hispanic,US Citizen,,High School,English,3,0,0,2,"$ 75,000 - 99,999",4.11
83976,Male,80,Non-Hispanic White,US Citizen,,College/AA degree,English,1,0,0,1,"$ 20,000 - 34,999",2.02
83977,Female,80,Non-Hispanic White,US Citizen,,High School,English,2,0,0,2,"$ 35,000 - 54,999",2.5
83978,Female,8,Non-Hispanic Black,US Citizen,Primary School,,English,3,1,1,0,"$ 10,000 - 19,999",0.6
83979,Male,15,Mexican American,US Citizen,Middle School,,English,4,0,1,2,"$ 100,000 +",4.44
